Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
Q99JI4	reviewed	PSMD6_MOUSE	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (p42A)	Psmd6	Mus musculus (Mouse)	389	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]	proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]		GO:0000502; GO:0005838; GO:0022624; GO:0043161
Q32PE0	reviewed	RPAB2_BOVIN	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (RPB6 homolog)	POLR2F	Bos taurus (Bovine)	127	transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; tRNA transcription by RNA polymerase III [GO:0042797]	nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]	nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; tRNA transcription by RNA polymerase III [GO:0042797]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006366; GO:0042797
Q9CPW5	reviewed	SSRB_MOUSE	Translocon-associated protein subunit beta (TRAP-beta) (Signal sequence receptor subunit beta) (SSR-beta)	Ssr2	Mus musculus (Mouse)	183	in utero embryonic development [GO:0001701]	endoplasmic reticulum membrane [GO:0005789]	endoplasmic reticulum membrane [GO:0005789]; in utero embryonic development [GO:0001701]		GO:0001701; GO:0005789
O01666	reviewed	ATPG_DROME	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	ATPsyngamma ATPsyn-gamma CG7610	Drosophila melanogaster (Fruit fly)	297	proton motive force-driven ATP synthesis [GO:0015986]	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]; mitochondrion [GO:0005739]	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]; mitochondrion [GO:0005739]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0000275; GO:0005739; GO:0005756; GO:0015986; GO:0046933
Q3T105	reviewed	GALE_BOVIN	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-galactose 4-epimerase)	GALE	Bos taurus (Bovine)	348	galactose catabolic process via UDP-galactose [GO:0033499]	cytosol [GO:0005829]	cytosol [GO:0005829]; UDP-glucose 4-epimerase activity [GO:0003978]; UDP-N-acetylglucosamine 4-epimerase activity [GO:0003974]; galactose catabolic process via UDP-galactose [GO:0033499]	UDP-glucose 4-epimerase activity [GO:0003978]; UDP-N-acetylglucosamine 4-epimerase activity [GO:0003974]	GO:0003974; GO:0003978; GO:0005829; GO:0033499
O61231	reviewed	RL10_DROME	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (QM protein homolog) (dQM)	RpL10 Qm CG17521	Drosophila melanogaster (Fruit fly)	218	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; neuronal cell body [GO:0043025]	cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; neuronal cell body [GO:0043025]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0043025
P48159	reviewed	RL23_DROME	Large ribosomal subunit protein uL14 (60S ribosomal protein L23) (L17A)	RpL23 RpL17A CG3661	Drosophila melanogaster (Fruit fly)	140	cytoplasmic translation [GO:0002181]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; large ribosomal subunit rRNA binding [GO:0070180]; myosin binding [GO:0017022]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	large ribosomal subunit rRNA binding [GO:0070180]; myosin binding [GO:0017022]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0017022; GO:0022625; GO:0022626; GO:0070180
Q7T2D4	reviewed	ERGI2_DANRE	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ergic2 zgc:64005	Danio rerio (Zebrafish) (Brachydanio rerio)	376	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]		GO:0005783; GO:0005789; GO:0005794; GO:0006888; GO:0006890; GO:0016020; GO:0030134; GO:0033116
Q2YDE7	reviewed	ARCH_BOVIN	Protein archease (Protein ZBTB8OS)	ZBTB8OS ARCH	Bos taurus (Bovine)	167	tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	tRNA-splicing ligase complex [GO:0072669]	tRNA-splicing ligase complex [GO:0072669]; metal ion binding [GO:0046872]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	metal ion binding [GO:0046872]	GO:0006388; GO:0046872; GO:0072669
Q8BGS2	reviewed	BOLA2_MOUSE	BolA-like protein 2	Bola2	Mus musculus (Mouse)	86	[2Fe-2S] cluster assembly [GO:0044571]; intracellular iron ion homeostasis [GO:0006879]; protein maturation by iron-sulfur cluster transfer [GO:0097428]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]; 2 iron, 2 sulfur cluster binding [GO:0051537]; iron-sulfur cluster binding [GO:0051536]; [2Fe-2S] cluster assembly [GO:0044571]; intracellular iron ion homeostasis [GO:0006879]; protein maturation by iron-sulfur cluster transfer [GO:0097428]	2 iron, 2 sulfur cluster binding [GO:0051537]; iron-sulfur cluster binding [GO:0051536]	GO:0005634; GO:0005737; GO:0005829; GO:0006879; GO:0044571; GO:0051536; GO:0051537; GO:0097428; GO:1990229
O42249	reviewed	GBLP_ORENI	Small ribosomal subunit protein RACK1 (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor of activated protein kinase C) (RACK)	gnb2l1 rack1	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	317	negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gastrulation [GO:2000543]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; translation regulator activity [GO:0045182]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gastrulation [GO:2000543]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]	ribosome binding [GO:0043022]; translation regulator activity [GO:0045182]	GO:0005737; GO:0005840; GO:0030178; GO:0032880; GO:0043022; GO:0045182; GO:0051302; GO:1990904; GO:2000114; GO:2000543
Q00227	reviewed	COX2_MYTED	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COII	Mytilus edulis (Blue mussel)	242		mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005507; GO:0005743; GO:0070469
Q00228	reviewed	CYB_MYTED	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	Mytilus edulis (Blue mussel)	397	respiratory electron transport chain [GO:0022904]	mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]	mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; respiratory electron transport chain [GO:0022904]	metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]	GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872
Q25379	reviewed	ACT3_LYTPI	Actin, cytoskeletal 3 (EC 3.6.4.-) (LPC3)		Lytechinus pictus (Painted sea urchin)	172		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0005737; GO:0005856; GO:0016787
Q9XSU7	reviewed	RL27_CANLF	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	RPL27 B173	Canis lupus familiaris (Dog) (Canis familiaris)	136	rRNA processing [GO:0006364]; translation [GO:0006412]	cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]	cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; rRNA processing [GO:0006364]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006364; GO:0006412; GO:0015934; GO:0022625; GO:0098556
P18699	reviewed	TBB_LYMST	Tubulin beta chain (Beta-tubulin)		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	111	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P79769	reviewed	TSN_CHICK	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO)	TSN	Gallus gallus (Chicken)	229	RNA metabolic process [GO:0016070]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]; RNA metabolic process [GO:0016070]	endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]	GO:0003697; GO:0003723; GO:0004519; GO:0005634; GO:0005737; GO:0016070; GO:0043565
Q5REY2	reviewed	RL27A_PONAB	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)	RPL27A	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	148	translation [GO:0006412]	cytoplasm [GO:0005737]; large ribosomal subunit [GO:0015934]	cytoplasm [GO:0005737]; large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005737; GO:0006412; GO:0015934
P29693	reviewed	EF1D_XENLA	Elongation factor 1-delta (EF-1-delta) (P36)	eef1d	Xenopus laevis (African clawed frog)	265		eukaryotic translation elongation factor 1 complex [GO:0005853]	eukaryotic translation elongation factor 1 complex [GO:0005853]; translation elongation factor activity [GO:0003746]	translation elongation factor activity [GO:0003746]	GO:0003746; GO:0005853
P62975	reviewed	UBIQ_RABIT	Ubiquitin		Oryctolagus cuniculus (Rabbit)	76		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]		GO:0005634; GO:0005737
Q5R628	reviewed	LSM5_PONAB	U6 snRNA-associated Sm-like protein LSm5	LSM5	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	91	mRNA splicing, via spliceosome [GO:0000398]	Lsm2-8 complex [GO:0120115]; nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]	Lsm2-8 complex [GO:0120115]; nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	GO:0000398; GO:0003723; GO:0005634; GO:0046540; GO:0071005; GO:0120115
Q5XK91	reviewed	FBCDB_XENLA	Fibrinogen C domain-containing protein 1-B	fibcd1-b	Xenopus laevis (African clawed frog)	457		membrane [GO:0016020]	membrane [GO:0016020]; chitin binding [GO:0008061]; metal ion binding [GO:0046872]	chitin binding [GO:0008061]; metal ion binding [GO:0046872]	GO:0008061; GO:0016020; GO:0046872
A8WQ43	reviewed	RL111_CAEBR	Large ribosomal subunit protein uL5A (60S ribosomal protein L11-1)	rpl-11.1 CBG01314	Caenorhabditis briggsae	196	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]	cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003723; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625
P02578	reviewed	ACT1_ACACA	Actin-1 (EC 3.6.4.-)		Acanthamoeba castellanii (Amoeba)	375	phagocytosis [GO:0006909]; response to chemical [GO:0042221]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; phagocytosis [GO:0006909]; response to chemical [GO:0042221]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0005737; GO:0006909; GO:0015629; GO:0016787; GO:0042221
P0DJ25	reviewed	RL40_TETTS	Ubiquitin-ribosomal protein eL40 fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)]	RPL40	Tetrahymena thermophila (strain SB210)	129	translation [GO:0006412]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:1990904
P12261	reviewed	EF1G_ARTSA	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)		Artemia salina (Brine shrimp)	430			translation elongation factor activity [GO:0003746]	translation elongation factor activity [GO:0003746]	GO:0003746
Q5F339	reviewed	CCHL_CHICK	Holocytochrome c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase) (CCHL)	HCCS RCJMB04_37l21	Gallus gallus (Chicken)	273	cytochrome c-heme linkage [GO:0018063]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]; cytochrome c-heme linkage [GO:0018063]	holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	GO:0004408; GO:0005739; GO:0005743; GO:0018063; GO:0046872
Q5ZJU3	reviewed	ASNS_CHICK	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase)	ASNS RCJMB04_15l3	Gallus gallus (Chicken)	561	asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]	cytosol [GO:0005829]	cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; cellular response to glucose starvation [GO:0042149]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of mitotic cell cycle [GO:0045931]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]	GO:0004066; GO:0005524; GO:0005829; GO:0006529; GO:0006541; GO:0042149; GO:0043066; GO:0045931; GO:0070981
Q6ING7	reviewed	FLAD1_XENLA	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	flad1	Xenopus laevis (African clawed frog)	496	FAD biosynthetic process [GO:0006747]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]; FAD biosynthetic process [GO:0006747]	ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]	GO:0003919; GO:0005524; GO:0005737; GO:0006747
Q7Z1E6	reviewed	CALR_BOMMO	Calreticulin	crt	Bombyx mori (Silk moth)	398	protein folding [GO:0006457]	endoplasmic reticulum lumen [GO:0005788]	endoplasmic reticulum lumen [GO:0005788]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]	GO:0005509; GO:0005788; GO:0006457; GO:0030246; GO:0051082
Q00224	reviewed	ATP6_MYTED	ATP synthase subunit a (F-ATPase protein 6)	ATP6	Mytilus edulis (Blue mussel)	238	proton motive force-driven ATP synthesis [GO:0015986]	mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]	proton transmembrane transporter activity [GO:0015078]	GO:0005743; GO:0015078; GO:0015986; GO:0045263
Q9IA79	reviewed	BI1_PAROL	Probable Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein homolog) (Transmembrane BAX inhibitor motif-containing protein 6)	tmbim6 tegt	Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	237	apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; response to unfolded protein [GO:0006986]	endoplasmic reticulum membrane [GO:0005789]	endoplasmic reticulum membrane [GO:0005789]; apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; response to unfolded protein [GO:0006986]		GO:0005789; GO:0006915; GO:0006986; GO:0043066
Q9YIC0	reviewed	EF1A_ORYLA	Elongation factor 1-alpha (EF-1-alpha) (EC 3.6.5.-)	eef1a ef1a	Oryzias latipes (Japanese rice fish) (Japanese killifish)	461	translation [GO:0006412]; translational elongation [GO:0006414]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; translation [GO:0006412]; translational elongation [GO:0006414]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414
P41775	reviewed	COX3_MYTED	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COIII	Mytilus edulis (Blue mussel)	265	aerobic electron transport chain [GO:0019646]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]	cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005743; GO:0019646
Q962S4	reviewed	RL39_SPOFR	Large ribosomal subunit protein eL39 (60S ribosomal protein L39)	RpL39	Spodoptera frugiperda (Fall armyworm)	51	translation [GO:0006412]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Q90YT1	reviewed	RL37_ICTPU	Large ribosomal subunit protein eL37 (60S ribosomal protein L37)	rpl37	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	97	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0019843; GO:0022625; GO:0046872
Q05B78	reviewed	ZFY21_BOVIN	Zinc finger FYVE domain-containing protein 21	ZFYVE21	Bos taurus (Bovine)	254		endosome [GO:0005768]; focal adhesion [GO:0005925]	endosome [GO:0005768]; focal adhesion [GO:0005925]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0005768; GO:0005925; GO:0046872
Q99L28	reviewed	RLP24_MOUSE	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	Rsl24d1	Mus musculus (Mouse)	163	ribosomal large subunit biogenesis [GO:0042273]; translation [GO:0006412]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit biogenesis [GO:0042273]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005654; GO:0005730; GO:0005840; GO:0006412; GO:0042273
Q9VK68	reviewed	PITH1_DROME	PITH domain-containing protein CG6153	CG6153	Drosophila melanogaster (Fruit fly)	211		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
P31674	reviewed	RS15_ORYSJ	Small ribosomal subunit protein uS19 (40S ribosomal protein S15)	RPS15 Os07g0184300 LOC_Os07g08660 OJ1046_F10.119	Oryza sativa subsp. japonica (Rice)	154	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	cytosolic small ribosomal subunit [GO:0022627]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627
Q9W237	reviewed	RS16_DROME	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RpS16 CG4046	Drosophila melanogaster (Fruit fly)	148	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000462; GO:0002181; GO:0003723; GO:0003735; GO:0022626; GO:0022627
O01802	reviewed	RL7_CAEEL	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	rpl-7 F53G12.10	Caenorhabditis elegans	244	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0000463; GO:0003723; GO:0003735; GO:0022625
P61866	reviewed	RL12_CAEEL	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	rpl-12 JC8.3	Caenorhabditis elegans	165	regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0000381; GO:0003735; GO:0006412; GO:0022625; GO:0070180
